Kernel Name,src_gpu,tgt_gpu,Block Size,Grid Size,Threads,Registers Per Thread [register/thread],Static Shared Memory Per Block [byte/block],Dynamic Shared Memory Per Block [byte/block],Shared Memory Per Block [byte/block],Achieved Occupancy,Achieved Active Warps Per SM [warp],Compute (SM) Throughput [%],Memory Throughput [%],L1/TEX Cache Throughput [%],L2 Cache Throughput [%],Memory Throughput [byte/s],Eligible Warps Per Scheduler [warp],Executed Ipc Active [inst/cycle],Warp Cycles Per Executed Instruction [cycle/inst],Theoretical Active Warps per SM [warp],Waves Per SM,Block Limit Registers [block],Block Limit Warps [block],Block Limit SM [block],Block Limit Shared Mem [block],Stall Barrier [inst],Stall Branch Resolving [inst],Stall Dispatch Stall [inst],Stall Drain [inst],Stall LG Throttle [inst],Stall Long Scoreboard [inst],Stall MIO Throttle [inst],Stall Math Pipe Throttle [inst],Stall Membar [inst],Stall Misc [inst],Stall No Instruction [inst],Stall Not Selected [inst],Stall Short Scoreboard [inst],Stall Sleeping [inst],Stall Tex Throttle [inst],Stall Wait [inst],Execution Time,Predicated-On FFMA Operations Per Cycle [inst],Predicated-On FADD Thread Instructions Executed Per Cycle [inst/cycle],Predicated-On FMUL Thread Instructions Executed Per Cycle [inst/cycle],Predicated-On DFMA Operations Per Cycle [inst],Predicated-On DADD Thread Instructions Executed Per Cycle [inst/cycle],Predicated-On DMUL Thread Instructions Executed Per Cycle [inst/cycle],Elapsed Cycles [cycle],SRC GPU Maximum Warps Per Scheduler [warp],SRC Theoretical Active Warps per SM [warp],SRC Theoretical Active Warps Per Scheduler [warp],SRC Shared Memory Configuration Size [byte],SRC Block Limit Warps [block],SRC Peak FP32 / Peak FP64,SRC DRAM BW per SM [byte/s/SM],SRC L2 Size per SM [byte/SM],SRC Peak FP32 / DRAM BW [flop/byte],SRC Peak FP16 Tensor [flop/s],SRC Peak Tensor / Peak FP32,SRC DRAM Latency [ns],SRC CPU-GPU BW [byte/s],TGT GPU Maximum Warps Per Scheduler [warp],TGT Theoretical Active Warps per SM [warp],TGT Theoretical Active Warps Per Scheduler [warp],TGT Shared Memory Configuration Size [byte],TGT Block Limit Warps [block],TGT Peak FP32 / Peak FP64,TGT DRAM BW per SM [byte/s/SM],TGT L2 Size per SM [byte/SM],TGT Peak FP32 / DRAM BW [flop/byte],TGT Peak FP16 Tensor [flop/s],TGT Peak Tensor / Peak FP32,TGT DRAM Latency [ns],TGT CPU-GPU BW [byte/s],TGT peak_fp32,TGT peak_fp64,TGT dram_bw
"attention_kernel2(const float *, const float *, float *, int)",A100,H100,256.0,32.0,8192.0,16.0,0.0,0.0,1024.0,12.56,8.04,0.55,0.99,3.02,1.32,10727272727.27,0.05,0.15,,64.0,0.04,16.0,8.0,32.0,32.0,0.0,0.53,0.19,0.62,0.0,16.51,0.03,0.06,0.0,0.01,2.64,0.08,1.38,0.0,0.0,2.76,3520.0,20.41,0.0,2.04,0.0,0.0,0.0,4014.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3350000000000.0
"attention_kernel3(const float *, const float *, float *, int, int)",A100,GB200,256.0,32.0,8192.0,32.0,0.0,0.0,1024.0,12.35,7.9,4.51,17.83,15.97,18.61,363456177266.29,0.1,0.35,,64.0,0.04,8.0,8.0,32.0,32.0,0.0,0.04,0.25,0.0,0.27,18.8,0.0,0.09,0.0,0.0,0.04,0.13,0.0,0.0,0.0,2.03,745184.0,155.95,0.0,0.0,0.0,0.0,0.0,860650.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
"attention_kernel1(const float *, const float *, float *, float *, int, int)",A100,H100,256.0,128.0,32768.0,28.0,0.0,0.0,1024.0,16.3,10.43,3.53,58.23,97.53,16.62,282030523085.18,0.03,0.1,,64.0,0.15,8.0,8.0,32.0,32.0,0.0,0.05,0.0,0.09,4.91,92.42,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,2.11,3816128.0,121.92,0.0,0.01,0.0,0.0,0.0,4407261.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3350000000000.0
"attention_kernel2(const float *, const float *, float *, int)",A100,GB200,256.0,128.0,32768.0,16.0,0.0,0.0,1024.0,14.19,9.08,1.96,2.04,2.74,4.21,34819672131.15,0.06,0.17,,64.0,0.15,16.0,8.0,32.0,32.0,0.0,0.53,0.19,0.6,0.0,15.11,0.18,0.09,0.0,0.01,1.82,0.17,1.41,0.0,0.0,2.78,3904.0,73.48,0.0,7.35,0.0,0.0,0.0,4468.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
"attention_kernel3(const float *, const float *, float *, int, int)",A100,H100,256.0,32.0,8192.0,32.0,0.0,0.0,1024.0,12.44,7.96,4.56,17.89,15.96,19.04,364836907590.01,0.1,0.35,,64.0,0.04,8.0,8.0,32.0,32.0,0.0,0.04,0.25,0.0,0.26,19.04,0.0,0.09,0.0,0.0,0.03,0.13,0.0,0.0,0.0,2.03,2949984.0,157.73,0.0,0.0,0.0,0.0,0.0,3407015.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3350000000000.0
"attention_kernel1(const float *, const float *, float *, float *, int, int)",A100,GB200,256.0,256.0,65536.0,28.0,0.0,0.0,1024.0,30.45,19.49,4.72,77.86,98.58,22.29,377003500740.54,0.03,0.1,,64.0,0.3,8.0,8.0,32.0,32.0,0.0,0.05,0.0,0.12,39.75,142.74,0.0,0.0,0.0,0.0,0.04,0.32,0.0,0.0,0.0,2.11,5703936.0,162.99,0.0,0.01,0.0,0.0,0.0,6587942.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
"attention_kernel2(const float *, const float *, float *, int)",A100,H100,256.0,256.0,65536.0,16.0,0.0,0.0,1024.0,26.34,16.86,3.84,3.78,4.96,7.39,67322580645.16,0.14,0.32,,64.0,0.3,16.0,8.0,32.0,32.0,0.0,0.55,0.22,0.62,0.0,16.6,0.58,0.23,0.0,0.01,1.68,0.47,1.55,0.0,0.0,2.87,3968.0,145.42,0.0,14.54,0.0,0.0,0.0,4513.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3350000000000.0
"attention_kernel3(const float *, const float *, float *, int, int)",A100,GB200,256.0,32.0,8192.0,32.0,0.0,0.0,1024.0,12.47,7.98,4.58,17.96,15.93,19.17,366213468204.31,0.1,0.35,,64.0,0.04,8.0,8.0,32.0,32.0,0.0,0.04,0.25,0.0,0.26,19.15,0.0,0.09,0.0,0.0,0.03,0.13,0.0,0.0,0.0,2.03,5871488.0,158.33,0.0,0.0,0.0,0.0,0.0,6781493.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
"attention_kernel1(const float *, const float *, float *, float *, int, int)",A100,H100,256.0,64.0,16384.0,28.0,0.0,0.0,1024.0,12.45,7.97,3.45,56.95,97.65,16.44,276758707897.46,0.03,0.1,,64.0,0.07,8.0,8.0,32.0,32.0,0.0,0.05,0.0,0.06,0.05,73.47,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,2.11,1948576.0,119.28,0.0,0.01,0.0,0.0,0.0,2250507.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3350000000000.0
"attention_kernel2(const float *, const float *, float *, int)",A100,GB200,256.0,64.0,16384.0,16.0,0.0,0.0,1024.0,12.92,8.27,1.09,1.34,2.64,2.48,19963636363.64,0.05,0.15,,64.0,0.07,16.0,8.0,32.0,32.0,0.0,0.53,0.19,0.6,0.0,15.23,0.03,0.06,0.0,0.01,2.38,0.08,1.37,0.0,0.0,2.76,3520.0,40.87,0.0,4.09,0.0,0.0,0.0,4011.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
