Kernel Name,src_gpu,tgt_gpu,Block Size,Grid Size,Threads,Registers Per Thread [register/thread],Static Shared Memory Per Block [byte/block],Dynamic Shared Memory Per Block [byte/block],Shared Memory Per Block [byte/block],Achieved Occupancy,Achieved Active Warps Per SM [warp],Compute (SM) Throughput [%],Memory Throughput [%],L1/TEX Cache Throughput [%],L2 Cache Throughput [%],Memory Throughput [byte/s],Eligible Warps Per Scheduler [warp],Executed Ipc Active [inst/cycle],Warp Cycles Per Executed Instruction [cycle/inst],Theoretical Active Warps per SM [warp],Waves Per SM,Block Limit Registers [block],Block Limit Warps [block],Block Limit SM [block],Block Limit Shared Mem [block],Stall Barrier [inst],Stall Branch Resolving [inst],Stall Dispatch Stall [inst],Stall Drain [inst],Stall LG Throttle [inst],Stall Long Scoreboard [inst],Stall MIO Throttle [inst],Stall Math Pipe Throttle [inst],Stall Membar [inst],Stall Misc [inst],Stall No Instruction [inst],Stall Not Selected [inst],Stall Short Scoreboard [inst],Stall Sleeping [inst],Stall Tex Throttle [inst],Stall Wait [inst],Execution Time,Predicated-On FFMA Operations Per Cycle [inst],Predicated-On FADD Thread Instructions Executed Per Cycle [inst/cycle],Predicated-On FMUL Thread Instructions Executed Per Cycle [inst/cycle],Predicated-On DFMA Operations Per Cycle [inst],Predicated-On DADD Thread Instructions Executed Per Cycle [inst/cycle],Predicated-On DMUL Thread Instructions Executed Per Cycle [inst/cycle],Elapsed Cycles [cycle],SRC GPU Maximum Warps Per Scheduler [warp],SRC Theoretical Active Warps per SM [warp],SRC Theoretical Active Warps Per Scheduler [warp],SRC Shared Memory Configuration Size [byte],SRC Block Limit Warps [block],SRC Peak FP32 / Peak FP64,SRC DRAM BW per SM [byte/s/SM],SRC L2 Size per SM [byte/SM],SRC Peak FP32 / DRAM BW [flop/byte],SRC Peak FP16 Tensor [flop/s],SRC Peak Tensor / Peak FP32,SRC DRAM Latency [ns],SRC CPU-GPU BW [byte/s],TGT GPU Maximum Warps Per Scheduler [warp],TGT Theoretical Active Warps per SM [warp],TGT Theoretical Active Warps Per Scheduler [warp],TGT Shared Memory Configuration Size [byte],TGT Block Limit Warps [block],TGT Peak FP32 / Peak FP64,TGT DRAM BW per SM [byte/s/SM],TGT L2 Size per SM [byte/SM],TGT Peak FP32 / DRAM BW [flop/byte],TGT Peak FP16 Tensor [flop/s],TGT Peak Tensor / Peak FP32,TGT DRAM Latency [ns],TGT CPU-GPU BW [byte/s],TGT peak_fp32,TGT peak_fp64,TGT dram_bw
"thermalEquation(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double)",H100,A100,256.0,250000.0,64000000.0,34.0,0.0,0.0,1024.0,68.35,43.74,76.88,51.26,51.4,67.89,1381387228143.14,3.41,3.08,,48.0,315.66,6.0,8.0,32.0,32.0,0.0,0.61,0.99,0.1,0.0,2.47,0.01,1.18,0.0,0.0,0.14,3.42,0.47,0.0,0.0,3.72,1477248.0,237.06,0.0,0.0,3705.69,395.11,394.59,1595557.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,19500000000000.0,9700000000000.0,2039000000000.0
"thermalEquation(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double)",GB200,H100,256.0,250000.0,64000000.0,38.0,0.0,0.0,1024.0,68.02,43.53,76.14,47.37,47.56,19.58,1604016091895.86,3.55,3.06,,48.0,274.12,6.0,8.0,32.0,32.0,0.0,0.62,1.24,0.1,0.0,1.93,0.01,1.42,0.0,0.0,0.13,3.64,0.25,0.0,0.0,3.83,1264736.0,273.73,0.0,0.0,4278.83,456.22,455.62,1384720.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3350000000000.0
"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",A100,H100,256.0,40.0,10240.0,36.0,0.0,0.0,1024.0,12.24,7.83,15.1,0.14,0.11,0.15,1642311219.81,0.49,1.67,,48.0,0.06,6.0,8.0,32.0,32.0,0.0,0.48,0.03,0.0,0.0,0.04,0.02,0.11,0.0,0.0,0.15,0.16,0.48,0.0,0.0,2.19,104672.0,1230.64,150.95,150.37,0.0,0.0,0.0,120835.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3350000000000.0
"boundaryConditionsU(double (*)[400][400], double)",H100,GB200,256.0,250000.0,64000000.0,16.0,0.0,0.0,1024.0,39.8,25.47,66.16,21.15,21.5,4.63,86003621001.81,1.33,2.43,,64.0,236.74,16.0,8.0,32.0,32.0,0.0,0.26,0.46,0.14,0.0,0.0,0.19,0.22,0.0,0.0,0.22,1.19,1.88,0.0,0.0,4.37,212096.0,0.0,0.0,0.0,0.0,4.17,0.0,229045.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
"boundaryConditionsU(double (*)[400][400], double)",GB200,A100,256.0,250000.0,64000000.0,16.0,0.0,0.0,1024.0,77.72,49.74,98.31,22.95,23.29,0.95,39681919774.14,1.68,1.86,,64.0,205.59,16.0,8.0,32.0,32.0,0.0,0.21,0.02,0.08,0.0,0.0,13.32,0.02,0.0,0.0,0.2,2.59,4.52,0.0,0.0,4.22,272032.0,0.0,0.0,0.0,0.0,3.22,0.0,297828.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,19500000000000.0,9700000000000.0,2039000000000.0
"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",A100,GB200,256.0,664063.0,170000128.0,36.0,0.0,0.0,1024.0,72.75,46.56,84.69,6.99,2.04,7.04,142587515968.66,5.19,3.39,,48.0,1024.79,6.0,8.0,32.0,32.0,0.0,0.48,0.3,0.0,0.0,0.02,0.49,3.48,0.0,0.0,0.22,5.12,0.36,0.0,0.0,2.25,33265152.0,6787.6,893.8,862.83,0.0,0.0,0.0,38420930.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
"swapGrid(double (*)[400][400], double (*)[400][400])",H100,A100,256.0,250000.0,64000000.0,16.0,0.0,0.0,1024.0,78.6,50.3,14.13,40.06,23.53,53.67,1455325662739.32,0.1,0.31,,64.0,236.74,16.0,8.0,32.0,32.0,0.0,0.26,0.13,3.45,0.0,146.69,0.89,0.08,0.0,0.0,0.23,0.27,2.85,0.0,0.0,2.97,1390592.0,0.0,0.0,0.0,0.0,0.0,0.0,1501810.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,19500000000000.0,9700000000000.0,2039000000000.0
"swapGrid(double (*)[400][400], double (*)[400][400])",GB200,H100,256.0,250000.0,64000000.0,16.0,0.0,0.0,1024.0,71.72,45.9,41.41,53.52,51.01,28.63,3533642363079.71,0.24,0.66,,64.0,205.59,16.0,8.0,32.0,32.0,0.0,0.27,0.22,2.17,0.01,55.77,1.92,0.12,0.0,0.0,0.29,0.47,3.33,0.0,0.0,4.05,564416.0,0.0,0.0,0.0,0.0,0.0,0.0,617817.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3350000000000.0
"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",A100,H100,256.0,58594.0,15000064.0,36.0,0.0,0.0,1024.0,73.24,46.87,84.46,6.71,2.03,7.02,136889357309.72,5.24,3.38,,48.0,90.42,6.0,8.0,32.0,32.0,0.0,0.48,0.3,0.0,0.0,0.02,0.49,3.54,0.0,0.0,0.22,5.19,0.36,0.0,0.0,2.25,2945120.0,6769.09,891.37,860.48,0.0,0.0,0.0,3401142.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3350000000000.0
"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",H100,GB200,256.0,1954.0,500224.0,36.0,0.0,0.0,1024.0,63.93,40.92,85.63,1.22,0.88,2.66,39641545281.82,5.06,3.53,,48.0,2.47,6.0,8.0,32.0,32.0,0.0,0.49,0.38,0.0,0.0,0.05,1.8,0.24,0.0,0.0,0.26,4.72,0.24,0.0,0.0,2.39,202112.0,8598.6,1081.12,1065.09,0.0,0.0,0.0,218271.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
