gpu,GPU Maximum Warps Per Scheduler [warp],Theoretical Active Warps per SM [warp],Theoretical Active Warps Per Scheduler [warp],Shared Memory Configuration Size [byte],Block Limit Warps [block],Peak FP32 / Peak FP64,DRAM BW per SM [byte/s/SM],L2 Size per SM [byte/SM],Peak FP32 / DRAM BW [flop/byte],Peak FP16 Tensor [flop/s],Peak Tensor / Peak FP32,DRAM Latency [ns],CPU-GPU BW [byte/s],peak_fp32,peak_fp64,dram_bw
a100,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,19500000000000.0,9700000000000.0,2039000000000.0
h100,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3350000000000.0
gb200,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
